id,nama_produk,brand,sub_kategori,jenis_kulit_kompatibel,rating,deskripsi
1,Low pH Gentle Cleanser,COSRX,Cleanser,Berminyak|Kombinasi|Berjerawat,4.6,Pembersih wajah pH rendah yang lembut untuk kulit bermasalah.
2,Hyaluronic Acid Hydrating Toner,Hada Labo,Toner,Kering|Normal|Sensitif,4.7,Toner dengan 3 HA untuk hidrasi maksimal.
3,Niacinamide 10% Serum,The Ordinary,Serum,Berminyak|Kombinasi|Berjerawat,4.5,Serum untuk mengontrol sebum dan pori-pori.
4,Cica Soothing Gel,Somethinc,Pelembap,Sensitif|Berjerawat|Normal,4.4,Gel ringan menenangkan kemerahan.
5,UV Aqua Rich Watery Essence,Biore,Sunscreen,Kering|Normal|Kombinasi,4.8,Sunscreen ringan cepat meresap SPF tinggi.
6,Acne Poreless Night Cream,Scarlett,Pelembap,Berjerawat|Berminyak,4.3,Krim malam untuk jerawat dengan AHA BHA.
7,Creamy Facial Foam,Cetaphil,Cleanser,Sensitif|Kering|Normal,4.2,Pembersih lembut tanpa SLS.
8,Green Tea Seed Serum,Innisfree,Serum,Kering|Normal|Kombinasi,4.6,Hidrasi dan antioksidan dari green tea.
9,Squalane Cleanser,The Ordinary,Makeup Remover,Normal|Kering|Sensitif,4.4,Pembersih lembut berbasis squalane.
10,Micellar Water Sensibio H2O,Bioderma,Makeup Remover,Sensitif|Normal,4.7,Pembersih riasan untuk kulit sensitif.
11,Water Sleeping Mask,Laneige,Masker,Kering|Normal,4.6,Masker malam untuk hidrasi mendalam.
12,Oil Control Sunscreen,Skintific,Sunscreen,Berminyak|Kombinasi,4.5,Sunscreen matte anti kilap.
13,Glowtening Serum,Scarlett,Serum,Kering|Normal|Kombinasi,4.4,Mencerahkan dan meratakan warna kulit.
14,Acne Pimple Master Patch,COSRX,Perawatan Jerawat,Berjerawat,4.6,Patch untuk jerawat aktif.
15,Hydrating Gentle Toner,Emina,Toner,Normal|Kering|Sensitif,4.3,Toner ringan untuk pemula.
16,Retinol 0.2% in Squalane,The Ordinary,Serum,Normal|Kering|Kombinasi,4.2,Perawatan anti-aging pemula.
17,Hydra Boost Water Gel,Neutrogena,Pelembap,Normal|Kombinasi|Berminyak,4.5,Moisturizer gel cepat meresap.
18,Perfect Whip Cleanser,Senka,Cleanser,Normal|Berminyak|Kombinasi,4.4,Pembersih busa lembut.
19,Soothing Toner with 5-Cica,Skintific,Toner,Sensitif|Berjerawat,4.5,Toner menenangkan dengan Cica kompleks.
20,Alpha Arbutin 2% + HA,The Ordinary,Serum,Normal|Kering|Kombinasi,4.3,Serum pencerah dengan HA.
21,UV Shield Sunscreen Gel,Emina,Sunscreen,Kombinasi|Berminyak|Normal,4.2,Sunscreen ramah remaja.
22,Real Barrier Extreme Cream,ATOPALM,Pelembap,Sensitif|Kering,4.6,Krim penguat skin barrier.
23,Daily Moisturizing Lotion,Cetaphil,Pelembap,Sensitif|Kering|Normal,4.5,Lotion melembapkan harian.
24,Radiance Toner,Avoskin,Toner,Kering|Normal|Kombinasi,4.4,Toner mencerahkan dengan PHA.
25,Snail 96 Mucin Power Essence,COSRX,Serum,Sensitif|Kering|Normal,4.7,Essence untuk perbaikan skin barrier.
26,Moisture Lip Sleeping Mask,Laneige,Lip Balm,Normal|Kering|Sensitif,4.8,Perawatan bibir semalam.
27,Calming Low pH Cleanser,Somethinc,Cleanser,Sensitif|Berjerawat|Kombinasi,4.5,Pembersih pH rendah untuk kulit sensitif.
28,Bright Stuff Clean & Glow,Emina,Cleanser,Normal|Kering,4.1,Pembersih pencerah untuk remaja.
29,Tretinoin Cream 0.05,Erha,Perawatan Jerawat,Berjerawat|Kombinasi,4.6,Krim resep untuk jerawat & anti-aging (gunakan sesuai anjuran dokter).
30,Hydrating Micellar Water,Nivea,Makeup Remover,Normal|Kering|Sensitif,4.3,Micellar water untuk kulit kering & sensitif.
