id,nama_produk,brand,sub_kategori,jenis_kulit_kompatibel,rating,deskripsi,harga_idr,size_ml,bahan_aktif,klaim,non_alkohol,non_fragrance,aman_malassezia,komedogenik_score
1,Low pH Gentle Cleanser,COSRX,Cleanser,Berminyak|Kombinasi|Berjerawat,4.6,Pembersih pH rendah lembut,135000,150,Panthenol|Allantoin|Cica,Gentle|Soothing|Oil control,True,True,True,1
2,Hyaluronic Acid Hydrating Toner,Hada Labo,Toner,Kering|Normal|Sensitif,4.7,Toner HA untuk hidrasi,175000,170,Hyaluronic Acid|Glycerin,Hydrating|Gentle,True,True,True,1
3,Niacinamide 10% Serum,The Ordinary,Serum,Berminyak|Kombinasi|Berjerawat,4.5,Serum kontrol sebum dan pori,210000,30,Niacinamide|Zinc,Oil control|Brightening,True,True,True,1
4,Cica Soothing Gel,Somethinc,Pelembap,Sensitif|Berjerawat|Normal,4.4,Gel menenangkan kemerahan,98000,40,Centella Asiatica|Panthenol,Soothing|Barrier,True,True,True,1
5,UV Aqua Rich Watery Essence,Biore,Sunscreen,Kering|Normal|Kombinasi,4.8,Sunscreen ringan SPF tinggi,155000,50,UV Filter,Hydrating|Gentle,False,False,True,2
6,Acne Poreless Night Cream,Scarlett,Pelembap,Berjerawat|Berminyak,4.3,Krim malam jerawat AHA BHA,95000,20,Salicylic Acid|AHA|Niacinamide,Anti-acne|Oil control,False,True,True,2
7,Creamy Facial Foam,Cetaphil,Cleanser,Sensitif|Kering|Normal,4.2,Pembersih lembut tanpa SLS,120000,125,Glycerin|Panthenol,Gentle|Hydrating,True,True,True,1
8,Green Tea Seed Serum,Innisfree,Serum,Kering|Normal|Kombinasi,4.6,Hidrasi dan antioksidan,320000,30,Green Tea|Glycerin,Hydrating|Antioxidant,True,False,True,1
9,Squalane Cleanser,The Ordinary,Makeup Remover,Normal|Kering|Sensitif,4.4,Pembersih berbasis squalane,230000,50,Squalane|Ester,Gentle|Barrier,True,True,True,1
10,Sensibio H2O Micellar,Bioderma,Makeup Remover,Sensitif|Normal,4.7,Micellar water kulit sensitif,180000,250,Micelle|Glycerin,Gentle|Soothing,True,True,True,1
11,Water Sleeping Mask,Laneige,Masker,Kering|Normal,4.6,Masker malam hidrasi,380000,70,Hyaluronic Acid|Betaine,Hydrating|Barrier,True,False,True,2
12,Oil Control Sunscreen,Skintific,Sunscreen,Berminyak|Kombinasi,4.5,Sunscreen matte anti kilap,95000,30,Niacinamide|Zinc|UV Filter,Oil control|Anti-acne,True,True,True,1
13,Glowtening Serum,Scarlett,Serum,Kering|Normal|Kombinasi,4.4,Serum pencerah,125000,15,Niacinamide|Arbutin|Licorice,Brightening|Hydrating,True,True,True,2
14,Acne Pimple Master Patch,COSRX,Perawatan Jerawat,Berjerawat,4.6,Patch jerawat aktif,45000,24,Hydrocolloid,Anti-acne,True,True,True,0
15,Hydrating Gentle Toner,Emina,Toner,Normal|Kering|Sensitif,4.3,Toner ringan pemula,42000,100,Glycerin|Panthenol,Hydrating|Gentle,True,True,True,1
16,Retinol 0.2% in Squalane,The Ordinary,Serum,Normal|Kering|Kombinasi,4.2,Retinol pemula,230000,30,Retinol|Squalane,Anti-aging|Barrier,True,True,True,2
17,Hydra Boost Water Gel,Neutrogena,Pelembap,Normal|Kombinasi|Berminyak,4.5,Moisturizer gel cepat meresap,210000,50,Hyaluronic Acid|Glycerin,Hydrating|Lightweight,True,False,True,1
18,Perfect Whip Cleanser,Senka,Cleanser,Normal|Berminyak|Kombinasi,4.4,Pembersih busa lembut,60000,120,Amino Acid,Gentle|Cleansing,False,False,True,2
19,Soothing Toner 5-Cica,Skintific,Toner,Sensitif|Berjerawat,4.5,Toner menenangkan Cica kompleks,99000,80,Centella|Panthenol|Allantoin,Soothing|Barrier,True,True,True,1
20,Alpha Arbutin 2% + HA,The Ordinary,Serum,Normal|Kering|Kombinasi,4.3,Serum pencerah dengan HA,230000,30,Alpha Arbutin|Hyaluronic Acid,Brightening|Hydrating,True,True,True,1
21,UV Shield Sunscreen Gel,Emina,Sunscreen,Kombinasi|Berminyak|Normal,4.2,Sunscreen ramah remaja,45000,60,UV Filter|Niacinamide,Oil control|Gentle,True,True,True,1
22,Real Barrier Extreme Cream,ATOPALM,Pelembap,Sensitif|Kering,4.6,Krim penguat barrier,320000,50,Ceramide|Cholesterol|FA,Barrier|Soothing,True,True,True,2
23,Daily Moisturizing Lotion,Cetaphil,Pelembap,Sensitif|Kering|Normal,4.5,Lotion melembapkan harian,230000,200,Glycerin|Panthenol,Hydrating|Gentle,True,True,True,1
24,Radiance Toner,Avoskin,Toner,Kering|Normal|Kombinasi,4.4,Toner mencerahkan PHA,189000,100,PHA|Niacinamide,Brightening|Gentle,True,True,True,1
25,Snail 96 Mucin Essence,COSRX,Serum,Sensitif|Kering|Normal,4.7,Essence perbaikan barrier,220000,100,Snail Mucin|Panthenol,Barrier|Hydrating,True,True,True,1
26,Lip Sleeping Mask,Laneige,Lip Balm,Normal|Kering|Sensitif,4.8,Masker bibir semalam,320000,20,Vitamin C|Berry Extract,Hydrating|Antioxidant,True,False,True,0
27,Calming Low pH Cleanser,Somethinc,Cleanser,Sensitif|Berjerawat|Kombinasi,4.5,Pembersih pH rendah,65000,50,Cica|Panthenol,Gentle|Soothing,True,True,True,1
28,Bright Stuff Clean & Glow,Emina,Cleanser,Normal|Kering,4.1,Pembersih pencerah remaja,28000,50,Niacinamide|Glycerin,Brightening|Gentle,True,True,True,1
29,Tretinoin Cream 0.05,Erha,Perawatan Jerawat,Berjerawat|Kombinasi,4.6,Krim resep tretinoin,120000,15,Tretinoin,Anti-acne|Anti-aging,True,True,True,3
30,Hydrating Micellar Water,Nivea,Makeup Remover,Normal|Kering|Sensitif,4.3,Micellar water hidrasi,45000,200,Micelle|Glycerin,Hydrating|Gentle,True,True,True,1
