nama_produk,brand,sub_kategori,jenis_kulit_kompatibel,rating,harga_idr,size_ml,bahan_aktif,klaim,non_alkohol,non_fragrance,aman_malassezia,komedogenik_score,deskripsi,source_url
Acnederm Pure Refining Toner,Wardah,Toner,Berjerawat|Berminyak|Kombinasi,4.5,35000,0.0,,Tighten pores|Prep skin,True,False,False,1,Toner multifungsi untuk membantu merapatkan pori dan menyiapkan kulit untuk langkah skincare berikutnya.,https://www.wardahbeauty.com/id/product/skincare/wardah-acnederm-pure-refining-toner
BB Cream Every Day,Wardah,BB Cream,Normal|Kombinasi|Berminyak,4.3,31000,0.0,Aloe Vera|Bio-Hyaluronic Acid|Witch Hazel|Zinc Gluconate,Oil control|Hydrating|Soft finish,True,False,False,2,BB cream harian dengan water break technology; melembapkan dan membantu kontrol sebum.,https://www.wardahbeauty.com/id/product/make-up/bb-cream-every-day
Lightening Powder Foundation Light Feel,Wardah,Powder Foundation,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.4,58000,13.0,Advanced Niacinamide|Licorice|Titanium Dioxide|Tocopheryl Acetate,Brightening|UV Protection|12h longlasting,True,False,False,2,"Powder foundation ringan dengan Microbright Formula, SPF 40 PA++++ & blue light protection.",https://www.wardahbeauty.com/id/product/make-up/lightening-powder-foundation-light-feel
Crystal Secret Exfoliating Toner with Natural AHA+PHA,Wardah,Toner Eksfoliasi,Normal|Kombinasi|Berminyak|Berjerawat,4.5,83000,125.0,AHA|PHA|Allantoin|Green Tea,Gentle exfoliation|Brightening|Soothing,True,False,False,1,Toner eksfoliasi lembut dengan AHA+PHA untuk kulit lebih cerah dan halus.,https://www.wardahbeauty.com/en/product/skincare/crystal-secret-exfoliating-toner-with-natural-aha-pha
UV Shield Airy Smooth Sunscreen Serum SPF 50+ PA++++,Wardah,Sunscreen,Normal|Kombinasi|Berminyak|Sensitif,4.6,37500,30.0,UV Filters|Centella Asiatica,Lightweight|Smooth finish,True,False,False,1,Sunscreen ringan untuk tampilan halus dan nyaman dipakai harian.,https://www.wardahbeauty.com/en/product/skincare/uv-shield-airy-smooth-sunscreen-serum-spf-50-pa
Instaperfect Skincover Air Cushion 22 Light Ivory,Wardah (Instaperfect),Cushion,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.5,193000,11.0,,High coverage|Natural finish,True,False,False,2,Cushion dengan coverage merata dan hasil natural.,https://shop.wardahbeauty.com/product/instaperfect-skincover-air-cushion-22-light-ivory-11-g/
Instaperfect Matte Fit Powder Foundation 32 True Beige,Wardah (Instaperfect),Powder Foundation,Normal|Kering|Kombinasi|Berminyak,4.4,155000,13.0,,Matte finish|Smooth,True,False,False,2,Bedak padat instaperfect dengan hasil matte dan halus.,https://shop.wardahbeauty.com/product/instaperfect-matte-fit-powder-foundation-32-true-beige-13-g/
Instaperfect Skinfocus Cover Foundation 33 Warm Olive,Wardah (Instaperfect),Foundation,Normal|Kering|Kombinasi|Berminyak,4.4,165000,30.0,,Full coverage|Long-wear,True,False,False,2,Foundation cair dengan coverage tinggi dan tahan lama.,https://shop.wardahbeauty.com/product-category/refill-skincover-air-cushion/
Instaperfect MATTESETTER Lip Matte Paint 01 GLEE,Wardah (Instaperfect),Lip Paint,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.4,105000,5.5,,Transfer-minim|Matte,True,False,True,0,Lip paint matte nyaman dengan transfer minimal.,https://shop.wardahbeauty.com/product-category/instaperfect/instaperfect-lip-make-up/
Instaperfect Blur Mattifying Primer,Wardah (Instaperfect),Primer,Kombinasi|Berminyak|Normal,4.5,99000,20.0,,Blur pores|Oil control,True,False,False,2,Primer untuk tampilan pori tersamarkan dan kontrol minyak.,https://shop.wardahbeauty.com/instaperfect
